 j, initial, exact, numerical
   0.00000000     ,   1.00000000     ,   1.00000000     ,   1.00000000    
   1.00000000     ,   1.00000000     ,   1.00000000     ,  0.999114990    
   2.00000000     ,   1.00000000     ,   1.00000000     ,   1.00964355    
   3.00000000     ,   1.00000000     ,   1.00000000     ,  0.954711914    
   4.00000000     ,   1.00000000     ,   1.00000000     ,   1.05633545    
   5.00000000     ,   0.00000000     ,   1.00000000     ,   1.16510010    
   6.00000000     ,   0.00000000     ,   1.00000000     ,  0.860229492    
   7.00000000     ,   0.00000000     ,   1.00000000     ,  0.365844727    
   8.00000000     ,   0.00000000     ,   0.00000000     ,   8.15734863E-02
   9.00000000     ,   0.00000000     ,   0.00000000     ,   7.41577148E-03
   10.0000000     ,   0.00000000     ,   0.00000000     ,   0.00000000    
